,name,dept
109,CHEM 5120 - Advanced Organic Chemistry II (3 units),CHEM
110,CHEM 5230 - Quantum Chemistry (3 units),CHEM
111,CHEM 5540 - Chemistry for Advanced Materials (3 units),CHEM
112,CHEM 6000S - Chemistry Seminar (1 unit),CHEM
113,CHEM 6771 - Professional Enrichment in Chemistry (1 unit),CHEM
114,CHEM 6772 - Professional Development in Chemistry (1 unit),CHEM
117,CHMS 5010 - Chemical Data Analysis (3 units),CHMS
118,CHMS 5020 - Elemental Analysis (3 units),CHMS
119,CHMS 5030 - Molecular Analysis (3 units),CHMS
120,CHMS 5040 - Separation Methods (3 units),CHMS
121,CHMS 5201 - Analytical Instrumentation Laboratory I (3 units),CHMS
122,CHMS 5202 - Analytical Instrumentation Laboratory II (3 units),CHMS
123,CIEM 5140 - Construction Project Delivery (3 units),CIEM
124,CIEM 5170 - Building Information Modeling and Smart Construction (3 units),CIEM
125,CIEM 5311 - Building Aerodynamics and Wind-Resistant Design of High-Rise Structures (3 units),CIEM
126,CIEM 5380 - Bridge Engineering (3 units),CIEM
127,CIEM 5390 - Coastal Structures Design (3 units),CIEM
128,CIEM 5410 - Risk Assessment and Contaminated Land Cleanup (3 units),CIEM
129,CIEM 5460 - Design and Management of Physico/Chemical Processes of Environmental Engineering (3 units),CIEM
130,CIEM 5480 - Wastewater Treatment and Reuse (3 units),CIEM
131,CIEM 5620 - Travel Demand Analysis (3 units),CIEM
132,CIEM 5720 - Advanced Foundation Design (3 units),CIEM
133,CIEM 5740 - Computer Methods for Slope Engineering (3 units),CIEM
134,CIEM 6980 - MSc Project (6 units),CIEM
135,CIVL 1010 - Academic and Professional Development I (0 units),CIVL
136,CIVL 1100 - Discovering Civil and Environmental Engineering (3 units),CIVL
137,CIVL 1140 - Environmental Quality Control and Improvement (3 units),CIVL
138,CIVL 1150 - Climate Change Impacts and Extreme Weather Events (3 units),CIVL
139,CIVL 1160 - Civil Engineering and Modern Society (3 units),CIVL
140,CIVL 2010 - Academic and Professional Development II (0 units),CIVL
141,CIVL 2110 - Statics (3 units),CIVL
142,CIVL 2120 - Mechanics of Materials (3 units),CIVL
143,CIVL 2160 - Modeling Systems with Uncertainties (3 units),CIVL
144,CIVL 2810 - Construction Materials (3 units),CIVL
145,CIVL 3010 - Academic and Professional Development III (0 units),CIVL
146,CIVL 3310 - Structural Analysis (3 units),CIVL
147,CIVL 3510 - Hydrosystems Engineering (3 units),CIVL
148,CIVL 3730 - Fundamentals of Geotechnics (3 units),CIVL
149,CIVL 4100I - Introduction to Data Analytics for Smart Transportation Systems (3 units),CIVL
150,CIVL 4100J - Introduction to Smart City Economics (3 units),CIVL
151,CIVL 4320 - Structural Steel Design (3 units),CIVL
152,CIVL 4330 - Introduction to Structural Dynamics (3 units),CIVL
153,CIVL 4450 - Carbon Footprint Analysis and Reduction (3 units),CIVL
154,CIVL 4460 - Process Design of Environmental Engineering Facilities (3 units),CIVL
155,CIVL 4470 - Air Quality Control and Management (3 units),CIVL
156,CIVL 4520 - Municipal Hydrosystems Engineering and Management (3 units),CIVL
157,CIVL 4620 - Transportation System Operations (3 units),CIVL
158,CIVL 4700 - Engineering Geology (3 units),CIVL
159,CIVL 4750 - Numerical Solutions to Geotechnical Problems (3 units),CIVL
160,CIVL 4810 - Construction Materials Technology (3 units),CIVL
161,CIVL 4910 - Civil and Environmental Engineering Final Year Project (6 units),CIVL
162,CIVL 4950 - Civil Engineering Capstone Design Project (3 units),CIVL
163,CIVL 5220 - BIM and Digital Construction (3 units),CIVL
164,CIVL 5230 - Finance and Operations in Civil Engineering (3 units),CIVL
165,CIVL 5370 - Wind Effects on Buildings and Structures (3 units),CIVL
166,CIVL 5390 - Finite Element Methods (3 units),CIVL
167,CIVL 5450 - Hazardous Waste Treatment and Site Remediation (3 units),CIVL
168,CIVL 5520 - Water Resources Systems Analysis (3 units),CIVL
169,CIVL 5610 - Urban Transportation Networks Analysis (3 units),CIVL
170,CIVL 5620 - Travel Demand Analysis (3 units),CIVL
171,CIVL 5710 - Advanced Soil Mechanics (3 units),CIVL
172,CIVL 5750 - Geotechnical Earthquake Engineering and Soil Dynamics (3 units),CIVL
173,CIVL 5770 - Unsaturated Soil Mechanics and Engineering (3 units),CIVL
174,CIVL 5780 - Soils and Waves (3 units),CIVL
175,CIVL 6010C - Directed Studies (3 units),CIVL
176,CIVL 6010G - Directed Studies (3 units),CIVL
177,CIVL 6050V - Civil Engineering Seminar I (0 units),CIVL
178,CIVL 6060C - Civil Engineering Seminar II (0 units),CIVL
181,CMAA 5008 - Visual Communication (3 units),CMAA
182,CMAA 6018 - Independent Study (3 units),CMAA
183,CMAA 6101 - Computational Media and Arts Program Seminar I (0 units),CMAA
184,COMP 1001 - Exploring Multimedia and Internet Computing (3 units),COMP
185,COMP 1021 - Introduction to Computer Science (3 units),COMP
186,COMP 1022P - Introduction to Computing with Java (3 units),COMP
187,COMP 1029C - C Programming Bridging Course (1 unit),COMP
188,COMP 1029J - Java Programming Bridging Course (1 unit),COMP
189,COMP 1029P - Python Programming Bridging Course (1 unit),COMP
190,COMP 1029V - Excel VBA Programming Bridging Course (1 unit),COMP
191,COMP 1943 - Creative Sound Design (3 units),COMP
192,COMP 1991 - Industrial Experience (0 units),COMP
193,COMP 2011 - Programming with C++ (4 units),COMP
194,COMP 2012 - Object-Oriented Programming and Data Structures (4 units),COMP
195,COMP 2012H - Honors Object-Oriented Programming and Data Structures (5 units),COMP
196,COMP 2611 - Computer Organization (4 units),COMP
197,COMP 2711 - Discrete Mathematical Tools for Computer Science (4 units),COMP
198,COMP 2711H - Honors Discrete Mathematical Tools for Computer Science (4 units),COMP
199,COMP 3021 - Java Programming (3 units),COMP
200,COMP 3031 - Principles of Programming Languages (3 units),COMP
201,COMP 3111 - Software Engineering (4 units),COMP
202,COMP 3111H - Honors Software Engineering (4 units),COMP
203,COMP 3211 - Fundamentals of Artificial Intelligence (3 units),COMP
204,COMP 3311 - Database Management Systems (3 units),COMP
205,COMP 3511 - Operating Systems (3 units),COMP
206,COMP 3632 - Principles of Cybersecurity (3 units),COMP
207,COMP 3711 - Design and Analysis of Algorithms (3 units),COMP
208,COMP 3711H - Honors Design and Analysis of Algorithms (4 units),COMP
209,COMP 3721 - Theory of Computation (3 units),COMP
210,COMP 4021 - Internet Computing (3 units),COMP
211,COMP 4211 - Machine Learning (3 units),COMP
212,COMP 4221 - Introduction to Natural Language Processing (3 units),COMP
213,COMP 4331 - Data Mining (3 units),COMP
214,COMP 4421 - Image Processing (3 units),COMP
215,COMP 4461 - Human-Computer Interaction (3 units),COMP
216,COMP 4471 - Deep Learning in Computer Vision (3 units),COMP
217,COMP 4621 - Computer Communication Networks I (3 units),COMP
218,COMP 4900 - Academic and Professional Development (0 units),COMP
219,COMP 4901K - Machine Learning for Natural Language Processing (3 units),COMP
220,COMP 4901L - Foundations of Computer Vision (3 units),COMP
221,COMP 4901N - Competitive Programming in Cybersecurity I (0 units),COMP
222,COMP 4901P - Competitive Programming in Cybersecurity III (1 unit),COMP
223,COMP 4911 - IT Entrepreneurship (3 units),COMP
224,COMP 4971B - Independent Work (2 units),COMP
225,COMP 4971C - Independent Work (3 units),COMP
226,COMP 4971D - Independent Work (4 units),COMP
227,COMP 4971K - Independent Work (3 units),COMP
228,COMP 4981 - Final Year Project (6 units),COMP
229,COMP 4981H - Final Year Thesis (6 units),COMP
230,COMP 5211 - Advanced Artificial Intelligence (3 units),COMP
231,COMP 5331 - Knowledge Discovery in Databases (3 units),COMP
232,COMP 5411 - Advanced Computer Graphics (3 units),COMP
233,COMP 5621 - Computer Networks (3 units),COMP
234,COMP 5631 - Cryptography and Security (3 units),COMP
235,COMP 5711 - Introduction to Advanced Algorithmic Techniques (3 units),COMP
236,COMP 6211F - Mathematical Analysis of Machine Learning Algorithms (3 units),COMP
237,COMP 6911 - Computer Science and Engineering Seminar I (0 units),COMP
238,COMP 6912 - Computer Science and Engineering Seminar II (1 unit),COMP
239,COMP 6931A - Independent Studies (3 units),COMP
242,CPEG 1971 - Industrial Experience (0 units),CPEG
243,CPEG 2930 - Academic and Professional Development I (0 units),CPEG
244,CPEG 3930 - Academic and Professional Development II (0 units),CPEG
245,CPEG 4901 - Computer Engineering Final Year Project in COMP (6 units),CPEG
246,CPEG 4902 - Computer Engineering Final Year Thesis in COMP (6 units),CPEG
247,CPEG 4911 - Computer Engineering Final Year Project in ELEC (6 units),CPEG
248,CSIT 5100 - Engineering Reliable Object-Oriented Software Systems (3 units),CSIT
249,CSIT 5110 - Multimedia Development (3 units),CSIT
250,CSIT 5210 - Data Mining and Knowledge Discovery (3 units),CSIT
251,CSIT 5610 - Computer Networks: An Internet Perspective (3 units),CSIT
252,CSIT 5710 - Cryptography and Security (3 units),CSIT
253,CSIT 5910 - Machine Learning (3 units),CSIT
254,CSIT 5930 - Search Engines and Applications (3 units),CSIT
255,CSIT 6910A - Independent Project (3 units),CSIT
256,CSIT 6910D - Independent Project (3 units),CSIT
257,DSCT 4900 - Academic and Professional Development (0 units),DSCT
258,ECON 2103 - Principles of Microeconomics (3 units),ECON
259,ECON 2113 - Microeconomics (3 units),ECON
260,ECON 2123 - Macroeconomics (3 units),ECON
261,ECON 2174 - Mathematics for Economists (4 units),ECON
262,ECON 2310 - Introductory Environmental and Health Economics (3 units),ECON
263,ECON 3014 - Managerial Microeconomics (4 units),ECON
264,ECON 3024 - Managerial Macroeconomics (4 units),ECON
265,ECON 3123 - Macroeconomic Theory I (3 units),ECON
266,ECON 3133 - Microeconomic Theory II (4 units),ECON
267,ECON 3143 - Macroeconomic Theory II (4 units),ECON
268,ECON 3334 - Introduction to Econometrics (4 units),ECON
269,ECON 4114 - Industrial Organization and Competitive Strategy (4 units),ECON
270,ECON 4124 - Applied Game Theory (4 units),ECON
271,ECON 4274 - Programming Econometrics with R (4 units),ECON
272,ECON 4334 - Money and Banking (4 units),ECON
273,ECON 4364 - International Trade and Investment (4 units),ECON
274,ECON 4374 - International Macroeconomics and Finance (4 units),ECON
275,ECON 4434 - Economic Development and Growth (4 units),ECON
276,ECON 4670 - Economics Research and Communication (0 units),ECON
277,ECON 4959C - Independent Study (2 units),ECON
278,ECON 4999M - Housing Economics (4 units),ECON
279,ECON 4999P - Macroeconomic and Financial Risk Management (2 units),ECON
280,ECON 5100 - Mathematics for Business and Economics (3 units),ECON
281,ECON 5110 - Managerial Microeconomics (2 units),ECON
282,ECON 5130 - Microeconomic Analysis (4 units),ECON
283,ECON 5140 - Macroeconomic Analysis (4 units),ECON
284,ECON 5200 - Global Macroeconomics (2 units),ECON
285,ECON 5210 - Microeconomic Theory I (4 units),ECON
286,ECON 5250 - Macroeconomic Theory I (4 units),ECON
287,ECON 5280 - Applied Econometrics (4 units),ECON
288,ECON 5630 - Empirical Industrial Organization (4 units),ECON
289,ECON 6101C - Behavioral Economics (1 unit),ECON
290,ECON 6110H - China's Financial Market & Macroeconomics (3 units),ECON
291,ECON 6110I - Housing Economics (3 units),ECON
292,ECON 6110J - Competitive Strategy (2 units),ECON
293,ECON 6120P - Advanced Macroeconomics (4 units),ECON
294,ECON 6980 - Independent Project (6 units),ECON
297,EEMT 5220 - Six Sigma Quality Management (3 units),EEMT
